Feature,Result,Class
489281.0,59849.04276579138,0.0
686469.0,117810.01812278864,1.0
264945.0,17549.000373524555,0.0
984902.0,242508.1253148806,1.0
956584.0,228763.37121330225,1.0
88064.0,1938.8293757316383,0.0
530032.0,70233.55448684139,0.0
425638.0,45291.98637624269,0.0
571313.0,81599.7160025814,0.0
594078.0,88232.25071850953,0.0
832872.0,173419.05872534527,1.0
624454.0,97485.78697924927,0.0
969325.0,234897.87463931873,1.0
689007.0,118682.75800011601,1.0
771292.0,148722.94532399165,1.0
523660.0,68555.0222387372,0.0
375040.0,35163.80293126958,0.0
345167.0,29785.112821133567,0.0
513154.0,65831.82879685666,0.0
265553.0,17629.63615464914,0.0
104065.0,2707.395648455542,0.0
440896.0,48597.38245543313,0.0
182140.0,8293.770423825063,0.0
789071.0,155658.37125734723,1.0
752624.0,141610.82673842265,1.0
888659.0,197428.82900990493,1.0
439355.0,48258.265541936125,0.0
227311.0,12917.604528458149,0.0
257872.0,16624.528223000438,0.0
401488.0,40298.20977012586,0.0
407109.0,41434.49149134367,0.0
48882.0,597.369346074329,0.0
710684.0,126268.03648670796,1.0
549340.0,75443.68583403295,0.0
118982.0,3539.195761853455,0.0
163397.0,6674.667801837876,0.0
177910.0,7913.016956578066,0.0
528285.0,69771.33429250478,0.0
200633.0,10063.428285288466,0.0
706448.0,124767.293105656,1.0
866740.0,187809.67827094498,1.0
851050.0,181071.64479930844,1.0
563430.0,79363.4201316836,0.0
232766.0,13545.035300955578,0.0
905573.0,205015.74138990266,1.0
402322.0,40465.80427189002,0.0
267701.0,17915.99385338525,0.0
339014.0,28732.670536427595,0.0
942867.0,222249.67695114337,1.0
894525.0,200043.8691671581,1.0
86160.0,1855.8984851279226,0.0
763024.0,145551.5129944501,1.0
82796.0,1713.8060180882699,0.0
924833.0,213829.14897634473,1.0
711116.0,126421.59094718918,1.0
312019.0,24339.007798211638,0.0
941107.0,221420.72814473964,1.0
605814.0,91752.73548958865,0.0
451082.0,50868.805858518805,0.0
459531.0,52792.24935066592,0.0
518276.0,67152.57562895653,0.0
281196.0,19767.836996533617,0.0
32675.0,266.91850153873105,0.0
409444.0,41911.15463200511,0.0
637185.0,101501.27028887962,1.0
264381.0,17474.365328560292,0.0
115222.0,3319.0434753892323,0.0
118600.0,3516.5066273670236,0.0
114102.0,3254.832598569696,0.0
150207.0,5640.556765069539,0.0
24173.0,146.0868866559832,0.0
236911.0,14031.73867254088,0.0
73967.0,1367.7896500527486,0.0
83074.0,1725.3340220149742,0.0
25527.0,162.91052632498398,0.0
218387.0,11923.251041018048,0.0
952856.0,226983.77261137444,1.0
17655.0,77.92724750754861,0.0
263332.0,17335.972447442342,0.0
539961.0,72889.5460011885,0.0
15346.0,58.87709671722027,0.0
668993.0,111888.00219809706,1.0
502443.0,63112.31243052448,0.0
835865.0,174667.69160462244,1.0
902417.0,203589.23683805566,1.0
781611.0,152729.0482829282,1.0
469314.0,55063.97337907806,0.0
820194.0,168179.6642633946,1.0
840515.0,176616.48400563354,1.0
914224.0,208951.50856281168,1.0
35929.0,322.7283112886001,0.0
798629.0,159452.1817454913,1.0
325320.0,26458.321170185132,0.0
281476.0,19807.224075735605,0.0
259533.0,16839.380881803278,0.0
539096.0,72656.19980383529,0.0
958856.0,229851.34145138698,1.0
617841.0,95431.96184465797,0.0
532730.0,70950.38783357153,0.0
908158.0,206187.86541055836,1.0
555413.0,77120.97792652494,0.0
905729.0,205086.382189743,1.0
206555.0,10666.270948426643,0.0
115503.0,3335.2519459841037,0.0
789763.0,155931.50963622896,1.0
570188.0,81278.66868882744,0.0
258721.0,16734.175206117012,0.0
641521.0,102887.3881999332,1.0
178463.0,7962.285601254273,0.0
5476.0,7.497427856260373,0.0
704134.0,123951.27109468945,1.0
319108.0,25457.52361646657,0.0
538861.0,72592.86979718444,0.0
780133.0,152151.98366800442,1.0
994654.0,247334.2842081803,1.0
710796.0,126307.83794238827,1.0
941725.0,221711.62577526094,1.0
582491.0,84824.02284554014,0.0
290407.0,21084.09709438808,0.0
44435.0,493.62354855356546,0.0
387598.0,37558.10669045545,0.0
962425.0,231565.6049233044,1.0
571785.0,81734.60163266303,0.0
808625.0,163468.71089095616,1.0
863290.0,186317.526912937,1.0
446708.0,49887.07188113932,0.0
789943.0,156002.59643142944,1.0
74773.0,1397.7608729144242,0.0
688185.0,118399.74492903364,1.0
377820.0,35687.04102048434,0.0
907765.0,206009.45092078747,1.0
275511.0,18976.616376842765,0.0
587809.0,86379.93744007831,0.0
823727.0,169631.6579812732,1.0
735411.0,135207.43771480638,1.0
634214.0,100556.93826568028,1.0
16681.0,69.56629503405125,0.0
952444.0,226787.52665369358,1.0
580256.0,84174.33764638245,0.0
500455.0,62613.87184619655,0.0
613550.0,94110.98654865404,0.0
839434.0,176162.47763704095,1.0
638021.0,101767.78845992226,1.0
248781.0,15473.031344438656,0.0
257447.0,16569.775519747138,0.0
475399.0,56501.118882253824,0.0
540833.0,73125.15921527173,0.0
744398.0,138532.19984376064,1.0
282240.0,19914.89393870103,0.0
999999.0,249999.64002774103,1.0
459495.0,52783.978111625765,0.0
672309.0,112999.94202034693,1.0
60252.0,907.5843332925821,0.0
333439.0,27795.438387144433,0.0
799057.0,159623.1342074124,1.0
514180.0,66095.34011150066,0.0
895705.0,200571.98718236072,1.0
985633.0,242868.24068847208,1.0
36478.0,332.66624892892924,0.0
231448.0,13392.07660342422,0.0
330821.0,27360.679850608667,0.0
293651.0,21557.768586570295,0.0
293180.0,21488.66917037708,0.0
